date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:58	69779/69779	---MCZ	200	added ('OK')	text/html	etag:W/%22652b0f43-11093%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/home.html	(from )
11:56:59	121/121	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Dec%202023%2004:56:59%20GMT	https://ui-themez.smartinnovates.net/robots.txt		(from )
11:56:59	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2264fbcfeb-13e%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/favicon.ico	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/favicon.ico	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:56:59	1209/1209	---MCZ	200	added ('OK')	text/css	etag:W/%2264fbcfe5-4b9%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/css/plugins.css	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/css/plugins.css	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:56:59	75339/75339	---MCZ	200	added ('OK')	text/css	etag:W/%2264fbe246-1264b%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/css/style.css	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/css/style.css	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:00	4192/4192	---M--	200	added ('OK')	image/png	etag:%2264fbcfeb-1060%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/logo-light.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/logo-light.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:00	1695/1695	---M--	200	added ('OK')	image/png	etag:%2264fbd003-69f%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/icon1.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/icon1.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:00	83274/83274	---M--	200	added ('OK')	image/jpeg	etag:%2264fbd003-1454a%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/profile.jpg	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/profile.jpg	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:01	1938/1938	---M--	200	added ('OK')	image/png	etag:%2264fbd003-792%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/icon2.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/icon2.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:01	3798/3798	---M--	200	added ('OK')	image/png	etag:%2264fbd003-ed6%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/icon4.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/header/icon4.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:01	10381/10381	---M--	200	added ('OK')	image/png	etag:%2264fbd007-288d%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/1.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/1.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:01	6463/6463	---M--	200	added ('OK')	image/png	etag:%2264fbd007-193f%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/2.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/2.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:01	11537/11537	---M--	200	added ('OK')	image/png	etag:%2264fbd008-2d11%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/3.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/3.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:02	6653/6653	---M--	200	added ('OK')	image/png	etag:%2264fbd008-19fd%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/4.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/serv-img/4.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:02	13804/13804	---M--	200	added ('OK')	image/png	etag:%2264fbd006-35ec%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s1.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s1.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:02	19708/19708	---M--	200	added ('OK')	image/png	etag:%2264fbd006-4cfc%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s2.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s2.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:03	27322/27322	---M--	200	added ('OK')	image/png	etag:%2264fbd006-6aba%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s3.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s3.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:03	31487/31487	---M--	200	added ('OK')	image/png	etag:%2264fbd006-7aff%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s4.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/resume/s4.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:03	1642/1642	---M--	200	added ('OK')	image/png	etag:%2264fbcffe-66a%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/awards/1.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/awards/1.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:03	5358/5358	---M--	200	added ('OK')	image/png	etag:%2264fbcffe-14ee%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/awards/2.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/awards/2.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:04	4949/4949	---M--	200	added ('OK')	image/png	etag:%2264fbcffe-1355%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/awards/3.png	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/assets/imgs/awards/3.png	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:04	18405/18405	---MCZ	200	added ('OK')	text/html	etag:W/%2264fbcfe1-47e5%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/works.html	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/works.html	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
11:57:04	16503/16503	---MCZ	200	added ('OK')	text/html	etag:W/%2264fbcfe1-4077%22	https://ui-themez.smartinnovates.net/items/Gavi/dark/project-details.html	C:/My%20Web%20Sites/cv/ui-themez.smartinnovates.net/items/Gavi/dark/project-details.html	(from https://ui-themez.smartinnovates.net/items/Gavi/dark/home.html)
